title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type,word_count,char_count,title_length,price_length,rating_length,total_reviews_length,product_description_length,reviews_length,reviews_rating_length,Shoe Type_length,text_length,reviews_stemmed,title_stemmed,reviews_lemmatized,title_lemmatized,reviews_sentiment,sentiment_category,sentiment_encoded
trock mens sports shoes,,2.9,,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,great looking shoes like total fake feedback disappointed average product pathetic product never buy product shown website totally different received dont buy poor quality worst packaging size doesnt fits well,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars,Men,70,398,25,7,18,12,398,267,207,3,267,great look shoe like total fake feedback disappoint averag product pathet product never buy product shown websit total differ receiv dont buy poor qualiti worst packag size doesnt fit well,trock men sport shoe,great looking shoe like total fake feedback disappointed average product pathetic product never buy product shown website totally different received dont buy poor quality worst packaging size doesnt fit well,trock men sport shoe,-0.26,Negative,-1
trock mens sneaker casual shoes white,,3.6,,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,average quality buy want try white shoes budget product good good comfortable superb product nice product best price niceee,3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,70,398,40,7,18,10,398,186,144,3,186,averag qualiti buy want tri white shoe budget product good good comfort superb product nice product best price nicee,trock men sneaker casual shoe white,average quality buy want try white shoe budget product good good comfortable superb product nice product best price niceee,trock men sneaker casual shoe white,0.53125,Positive,1
maddy mesh sports latest stylish casual sneakerslace lightweight shoes running walking gym training shoes mens,,2.5,,Make a note to get noticed as you adorn this pair of Extra lite PVC Sole Sports Running Shoes For for men. These comfortable durable and lightweight Sports Shoes will become your favorite in no time. Crafted from a Rich Quality Material this pair of Mens Running Shoes promises to keep your feet at ease all day long. sock liner provides comfort Soft cushion layers provide for good stability and speed. Lace-ups ensure great comfort and provide proper grip to your feet. An all-weather staple this PVC sole footwear can be teamed with your varied outfits. Maddy Believes on Quality you can buy any Casual Sports Shoes from Maddy to looks Better. This adorable lightweight Casual Shoes will be your feet's best friend. Designed as per the latest trend this pair will catch every style-conscious everybody attention. The comfortable upper lining and sole of these Lite Running Shoes will keep your feet super happy whenever you slip these on! This is an excellent pair of Shoes or casuals with the best quality at the best price.,please dont buy shoes light weighted,1.0 out of 5 stars|| 5.0 out of 5 stars,Men,176,1028,124,7,18,9,1028,54,39,3,54,pleas dont buy shoe light weight,maddi mesh sport latest stylish casual sneakerslac lightweight shoe run walk gym train shoe men,please dont buy shoe light weighted,maddy mesh sport latest stylish casual sneakerslace lightweight shoe running walking gym training shoe men,0.4,Positive,1
kraasa sneakers men,,3.5,,These are worn usually with casual and informal attires but it also depends upon the choice of the wearer. Our Sneakers are available in eye catching looks and designs.,hai bhai love really awesome excellent sneakers chep best kraasa best per quality fit comfort worth price dont buy pathetic complete review shoe use gud price satisfying price,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars,Men,29,168,23,7,18,12,168,275,207,3,275,hai bhai love realli awesom excel sneaker chep best kraasa best per qualiti fit comfort worth price dont buy pathet complet review shoe use gud price satisfi price,kraasa sneaker men,hai bhai love really awesome excellent sneaker chep best kraasa best per quality fit comfort worth price dont buy pathetic complete review shoe use gud price satisfying price,kraasa sneaker men,0.48,Positive,1
aadi mens sports shoes,,3.2,,AADI SHOES,nice shose defctive material send bad quality awesome shoes dont like thik disastrous quality nice shoes hard top bad quantity bad quality product dont buy junaid khan,2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men,2,10,23,7,18,11,10,214,207,3,214,nice shose defctiv materi send bad qualiti awesom shoe dont like thik disastr qualiti nice shoe hard top bad quantiti bad qualiti product dont buy junaid khan,aadi men sport shoe,nice shose defctive material send bad quality awesome shoe dont like thik disastrous quality nice shoe hard top bad quantity bad quality product dont buy junaid khan,aadi men sport shoe,-0.04351851851851846,Negative,-1
flite men boat shoes,,3.6,,Sparx Presents footwear range that Will Keep Your Feet At Great Ease While You walk run or work out in the Gym. These Are Light In Weight Flexible And Very Comfortable To Wear As Well.,poor build quality avoid views use throw product value money budget loafer mens awesome product kinda ok specific purpose good product paisa vasul product elegance economy,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,35,184,20,7,18,12,184,223,207,3,223,poor build qualiti avoid view use throw product valu money budget loafer men awesom product kinda ok specif purpos good product paisa vasul product eleg economi,flite men boat shoe,poor build quality avoid view use throw product value money budget loafer men awesome product kinda ok specific purpose good product paisa vasul product elegance economy,flite men boat shoe,0.36,Positive,1
white walkers mens boys multicolor running casual sports shoes,,3.6,,WHITE WALKERS Grip sport is back and packed with even more style and comfort. The grip fusion sport updates the ultra-comfortable grip fusion with a new mesh upper for increased breathability and comfort. Built on the anatomically shaped grip comfort last with more volume for your foot the heather mesh forefoot and sporty upper sits on top a new fusionfoam midsole comprised mixture of super soft eva foam and ultra-responsive rubber that provides a cushioned feel and all-day comfort.,qualityis bad best according price best price wrost product high price pasting good price wise good buying read comments attractive must buy value money review,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars,Men,79,487,65,7,18,11,487,231,207,3,231,qualityi bad best accord price best price wrost product high price past good price wise good buy read comment attract must buy valu money review,white walker men boy multicolor run casual sport shoe,qualityis bad best according price best price wrost product high price pasting good price wise good buying read comment attractive must buy value money review,white walker men boy multicolor running casual sport shoe,0.545,Positive,1
shoefly men multicolour latest collection sports running shoes pack combo,,2.9,, Shoefly men's canvas casual wear Sports/Shoes they are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort. These shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. This pair of casual shoes from Shoefly is designed especially for the fashion forward men. ,quality good size ok delivered time delivered worthy product quality good shoes poor quality bad products waste quality,1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars,Men,93,536,96,7,18,10,536,178,186,3,178,qualiti good size ok deliv time deliv worthi product qualiti good shoe poor qualiti bad product wast qualiti,shoefli men multicolour latest collect sport run shoe pack combo,quality good size ok delivered time delivered worthy product quality good shoe poor quality bad product waste quality,shoefly men multicolour latest collection sport running shoe pack combo,0.1333333333333334,Positive,1
stranger brothers white sneakers shoes men,,2.9,,"""STRANGER BROTHERS"" Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jeans And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.",good product budget nice quality good good,5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,100,584,46,7,18,9,584,62,81,3,62,good product budget nice qualiti good good,stranger brother white sneaker shoe men,good product budget nice quality good good,stranger brother white sneaker shoe men,0.6749999999999999,Positive,1
brk mens denim casual shoe,,4.0,,stop stop stop!! Are you looking for branded shoe so BRK trade mark company brought a very stylish comfortable  valuable floatable walkable and With an excellent design this pair of shoes is an elegant choice for all fashion-savvy men.Complete your smart outfit matching these shoes with a slim shirt and a pair of trousers.The sole promises great traction on the surface thus promising ultimate comfort whereas the perforated design is for added appeal. Put On An Unruffled And Spontaneous Look Wearing This Pair Of Modish Shoes Designed To Pull Off A Magnificent Persona. Smart And Stylish These Casual Shoes For Men Are A Must Have In Your Footwear Closet. Team This Trendy Pair With Jeans And A T-Shirt As You Get Ready For An Outing. Buy This Online From Amazon.Com To Complete Your Look.,looking good product good wrost product excellent recommended nice nice product nice colours extra low quality shoes good product value money worth,3.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men,134,793,30,7,18,10,793,193,207,3,193,look good product good wrost product excel recommend nice nice product nice colour extra low qualiti shoe good product valu money worth,brk men denim casual shoe,looking good product good wrost product excellent recommended nice nice product nice colour extra low quality shoe good product value money worth,brk men denim casual shoe,0.52,Positive,1
bata mens wonder rain shoe,,4.0,,Experience great comfort walking in this pair of Men's Casual Shoes from the house of Bata Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,buy one size less normal size paisa wasool superb much offence bought product perfect fit good matetial foot wear worth bata rainy shies go buy one size small comfortable,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars,Men,35,225,27,7,18,10,225,246,207,3,246,buy one size less normal size paisa wasool superb much offenc bought product perfect fit good mateti foot wear worth bata raini shi go buy one size small comfort,bata men wonder rain shoe,buy one size less normal size paisa wasool superb much offence bought product perfect fit good matetial foot wear worth bata rainy shy go buy one size small comfortable,bata men wonder rain shoe,0.2939393939393939,Positive,1
paragon mens flipflops,,4.2,,A part of paragon's paralite range of footwear paralite 1140 are stylish flip-flops for men with thong straps and a light heel. The flip-flops are long-lasting and comfortable. They come in two color options - black body with a red line along the heel or navy blue body with an orange line along the heel.,low cost upto expectations best product price quality excellent value money classy flip flops cheap rate cheap decent slippers star received damaged pair stars product bad product amazons choice regular user home extra lasting long lasting everlasting good rough tough use,3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,55,305,24,7,18,13,305,373,207,3,373,low cost upto expect best product price qualiti excel valu money classi flip flop cheap rate cheap decent slipper star receiv damag pair star product bad product amazon choic regular user home extra last long last everlast good rough tough use,paragon men flipflop,low cost upto expectation best product price quality excellent value money classy flip flop cheap rate cheap decent slipper star received damaged pair star product bad product amazon choice regular user home extra lasting long lasting everlasting good rough tough use,paragon men flipflops,0.1579861111111111,Positive,1
aqualite mens ealg clog,,3.9,,Update your footwear collection with something stylish in the form of these sneaker from the house of Aqualite.,copy original aqualite comfort light weight job nice product ok bad ok haa thek hi h ok ok unequal sole thickness sandal pathetic good product value money,2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,18,111,29,7,18,10,111,211,207,3,211,copi origin aqualit comfort light weight job nice product ok bad ok haa thek hi h ok ok unequ sole thick sandal pathet good product valu money,aqualit men ealg clog,copy original aqualite comfort light weight job nice product ok bad ok haa thek hi h ok ok unequal sole thickness sandal pathetic good product value money,aqualite men ealg clog,0.2159090909090909,Positive,1
gwal g mens synthetic leather formal shoesoffice wear shoes black,,3.6,, 😎Shree Gwal Baba Traders😎 The pair of shoes you see above has gone through the finest handmade craftsmanship and hard work from the people behind its creation. We hope you will love wearing these as much as we loved creating them. All soles used in our shoes are anti-skin to provide good grip also the insoles are cushioned to provide the maximum comfort for long hours. Wear it in office wedding or that special occasion these shoes are a must have to add that classy quotient to your wardrobe.  ,like regular use economic good comfortable rate long lasting,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,89,499,69,7,18,10,499,92,123,3,92,like regular use econom good comfort rate long last,gwal g men synthet leather formal shoesoffic wear shoe black,like regular use economic good comfortable rate long lasting,gwal g men synthetic leather formal shoesoffice wear shoe black,0.2083333333333333,Positive,1
bata mens swift loafers,,3.7,,Experience great comfort walking in this pair of casual shoes from the house of BATA Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,cheap price cheap quality didnt last days elegant lightweight service good far fit,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars,Men,34,219,24,7,18,10,219,105,81,3,105,cheap price cheap qualiti didnt last day eleg lightweight servic good far fit,bata men swift loafer,cheap price cheap quality didnt last day elegant lightweight service good far fit,bata men swift loafer,0.35714285714285715,Positive,1
von huette mens blackbrown panny loafer shoes,,5.0,,VON HUETTE is highly fashionable footwear brand catering to all age groups for men women and children. Von Huette shoes are made from high quality synthetic and leather material with best quality tpr and rubber soles for comfortable wearing with memory foam inner sole and comfortable sole. VON HUETTE shoes can be worn for party office casual wear and formal wear. Slip-ons are typically low lace-less shoes. The style most commonly seen known as a loafer or slippers in American culture has a moccasin construction. ... A less casual earlier type of slip-on is made with side gussets (sometimes called a dress loafer).,value money,5.0 out of 5 stars,Men,103,620,47,7,18,8,620,15,18,3,15,valu money,von huett men blackbrown panni loafer shoe,value money,von huette men blackbrown panny loafer shoe,0.0,Neutral,0
road runner mens multicolor kl casual sports running shoes,,3.8,,ROAD RUNNER is a pursuit of simple comfortable fashionable and lightweight protection shoes. Very impressed with these mens athletic shoes. Wanted a good running shoe with a sporty look and that is exactly what these shoes are. They are very light in weight which makes it even more comfortable. you wear it to gym and whenever you play racketball.,user review totally worthy product loved,1.0 out of 5 stars|| 5.0 out of 5 stars,Men,59,348,63,7,18,9,348,50,39,3,50,user review total worthi product love,road runner men multicolor kl casual sport run shoe,user review totally worthy product loved,road runner men multicolor kl casual sport running shoe,0.5166666666666666,Positive,1
trock mens navy blue running shoes,,3.5,,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,satisfied worth money okay hard sole pathetic shoe uncomfortable uncomfortable cheap forgettable dont buy comfortable third class product dont buy waste money nice product,1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars,Men,70,397,36,7,18,12,397,244,207,3,244,satisfi worth money okay hard sole pathet shoe uncomfort uncomfort cheap forgett dont buy comfort third class product dont buy wast money nice product,trock men navi blue run shoe,satisfied worth money okay hard sole pathetic shoe uncomfortable uncomfortable cheap forgettable dont buy comfortable third class product dont buy waste money nice product,trock men navy blue running shoe,-0.020833333333333346,Negative,-1
centrino men formal shoes,,3.8,,Centrino is a value footwear brand for men. Our range consists of basic and updated basic products across both formal and casual footwear. We offer the right blend of quality style and value aimed to delight our customers.,centrino brand trust im disappointed ok ok poor quality dont buy replacement policy nice pair shoe centrino mens formal shoes great product budget price good looking shoes size awkwardly long great one,5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men,38,222,25,7,18,12,222,260,207,3,260,centrino brand trust im disappoint ok ok poor qualiti dont buy replac polici nice pair shoe centrino men formal shoe great product budget price good look shoe size awkwardli long great one,centrino men formal shoe,centrino brand trust im disappointed ok ok poor quality dont buy replacement policy nice pair shoe centrino men formal shoe great product budget price good looking shoe size awkwardly long great one,centrino men formal shoe,0.30000000000000004,Positive,1
